year,fage,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1990,c) 2,f) 500 to 999,206,1789,123842,120787,677,45.299,88,5.888,33913,10345,23568,8.565,28.077,28359,12083,16276,10.004,23.479,5554,4.598,46.957,6,14,7789
1990,c) 2,g) 1000 to 2499,97,1173,125623,120714,434,43.270,94,9.372,31364,20149,11215,16.692,25.982,22118,6202,15916,5.138,18.323,9246,7.659,36.645,0,0,0
1990,c) 2,h) 2500 to 4999,37,1655,83112,83724,216,13.309,152,9.365,9626,2863,6763,3.420,11.497,10674,1852,8822,2.212,12.749,-1048,-1.252,22.995,0,0,0
1990,c) 2,i) 5000 to 9999,20,794,79006,78483,(D),(D),65,7.971,6718,(D),6543,(D),8.560,6037,935,5102,1.191,7.692,681,0.868,15.384,0,0,0
1990,c) 2,j) 10000+,19,333,44781,42647,(D),(D),15,4.695,8911,(D),2718,(D),20.895,4674,582,4092,1.365,10.960,4237,9.935,21.920,0,0,0
1990,d) 3,a) 1 to 4,172707,173082,404283,442535,10479,5.582,39745,21.173,90739,24573,66166,5.553,20.504,166949,107075,59874,24.196,37.726,-76210,-17.221,41.009,32927,33123,91381
1990,d) 3,b) 5 to 9,57660,58502,398390,410461,678,1.131,3559,5.937,79877,6928,72949,1.688,19.460,104274,45046,59228,10.975,25.404,-24397,-5.944,38.921,3023,3162,40134
1990,d) 3,c) 10 to 19,30427,32000,425361,431912,467,1.434,1621,4.976,84018,6959,77059,1.611,19.453,97444,39057,58387,9.043,22.561,-13426,-3.109,38.905,1340,1469,35770
1990,d) 3,d) 20 to 99,20808,25337,801637,806094,952,3.743,1153,4.533,155143,18463,136680,2.290,19.246,164329,59050,105279,7.325,20.386,-9186,-1.140,38.493,744,896,51811
1990,d) 3,e) 100 to 499,2478,6248,473007,466686,699,11.547,310,5.121,89826,19433,70393,4.164,19.248,77709,23226,54483,4.977,16.651,12117,2.596,33.303,55,83,16641
1990,d) 3,f) 500 to 999,265,1228,179120,174238,205,17.935,35,3.062,20884,4362,16522,2.503,11.986,11773,4076,7697,2.339,6.757,9111,5.229,13.514,(D),(D),(D)
1990,d) 3,g) 1000 to 2499,174,1815,236987,232691,90,4.983,72,3.987,20560,2801,17759,1.204,8.836,11804,2658,9146,1.142,5.073,8756,3.763,10.146,0,0,0
1990,d) 3,h) 2500 to 4999,55,1355,156152,152524,63,4.723,21,1.574,12491,2000,10491,1.311,8.190,5367,211,5156,0.138,3.519,7124,4.671,7.038,0,0,0
1990,d) 3,i) 5000 to 9999,22,582,73117,71225,7,1.189,20,3.398,11025,1990,9035,2.794,15.479,6985,937,6048,1.316,9.807,4040,5.672,19.614,0,0,0
1990,d) 3,j) 10000+,10,80,100837,91604,(D),(D),10,11.905,18384,(D),18213,(D),20.069,1351,346,1005,0.378,1.475,17033,18.594,2.950,0,0,0
1990,e) 4,a) 1 to 4,151405,151766,356590,387388,9007,5.536,30879,18.979,74833,21343,53490,5.509,19.317,136518,84361,52157,21.777,35.241,-61685,-15.923,38.635,25402,25583,71827
1990,e) 4,b) 5 to 9,56051,57032,385796,397505,679,1.167,2993,5.144,69477,6467,63010,1.627,17.478,93088,37437,55651,9.418,23.418,-23611,-5.940,34.957,2537,2676,33637
1990,e) 4,c) 10 to 19,31077,32946,430619,437705,402,1.204,1309,3.919,74396,5548,68848,1.268,16.997,88795,31562,57233,7.211,20.287,-14399,-3.290,33.994,1057,1154,28437
1990,e) 4,d) 20 to 99,21865,27218,850009,858312,1016,3.730,1062,3.899,142196,16471,125725,1.919,16.567,158870,51718,107152,6.026,18.510,-16674,-1.943,33.134,625,774,45454
1990,e) 4,e) 100 to 499,2652,6882,483762,482042,572,8.385,452,6.626,85675,17689,67986,3.670,17.773,82732,28023,54709,5.813,17.163,2943,0.611,34.326,55,83,17623
1990,e) 4,f) 500 to 999,235,1609,145261,141622,235,15.265,96,6.236,31221,10070,21151,7.111,22.045,23420,3497,19923,2.469,16.537,7801,5.508,33.074,(D),(D),(D)
1990,e) 4,g) 1000 to 2499,134,1979,177206,175865,240,12.526,114,5.950,22911,6912,15999,3.930,13.028,20606,4992,15614,2.839,11.717,2305,1.311,23.434,(D),(D),(D)
1990,e) 4,h) 2500 to 4999,23,236,53524,52156,12,5.085,12,5.085,5273,1036,4237,1.986,10.110,2613,1016,1597,1.948,5.010,2660,5.100,10.020,0,0,0
1990,e) 4,i) 5000 to 9999,15,173,52690,52932,(D),(D),13,7.365,3934,(D),2931,(D),7.432,4446,762,3684,1.440,8.400,-512,-0.967,14.864,0,0,0
1990,e) 4,j) 10000+,12,786,87002,87667,7,0.886,15,1.899,7435,343,7092,0.391,8.481,8552,1292,7260,1.474,9.755,-1117,-1.274,16.962,0,0,0
1990,f) 5,a) 1 to 4,132782,133135,314600,338236,7898,5.586,24425,17.274,63451,18476,44975,5.462,18.759,111004,65751,45253,19.439,32.819,-47553,-14.059,37.519,19935,20092,55557
1990,f) 5,b) 5 to 9,50148,51109,344413,353449,582,1.119,2389,4.593,59293,5642,53651,1.596,16.776,77393,29316,48077,8.294,21.897,-18100,-5.121,33.551,1961,2101,25907
1990,f) 5,c) 10 to 19,27654,29400,381275,388481,340,1.139,1216,4.075,64090,5156,58934,1.327,16.498,78833,28060,50773,7.223,20.293,-14743,-3.795,32.995,933,1074,25162
1990,f) 5,d) 20 to 99,18617,23215,716641,716762,788,3.389,865,3.720,126773,14087,112686,1.965,17.687,126943,37438,89505,5.223,17.711,-170,-0.024,35.374,464,588,32224
1990,f) 5,e) 100 to 499,2144,5581,393207,391313,421,7.608,327,5.909,68873,12380,56493,3.164,17.600,65034,20279,44755,5.182,16.619,3839,0.981,33.239,42,83,15363
1990,f) 5,f) 500 to 999,188,1740,115403,113540,190,11.299,73,4.341,16790,5505,11285,4.849,14.788,13403,2853,10550,2.513,11.805,3387,2.983,23.609,0,0,0
1990,f) 5,g) 1000 to 2499,130,2581,183598,180086,325,12.831,229,9.041,24202,9595,14607,5.328,13.439,17209,5460,11749,3.032,9.556,6993,3.883,19.112,0,0,0
1990,f) 5,h) 2500 to 4999,37,2172,102292,99633,189,8.989,50,2.378,14526,8495,6031,8.526,14.580,8460,1226,7234,1.231,8.491,6066,6.088,16.982,0,0,0
1990,f) 5,i) 5000 to 9999,18,823,50804,48457,126,16.514,6,0.786,8183,2683,5500,5.537,16.887,3895,185,3710,0.382,8.038,4288,8.849,16.076,0,0,0
1990,f) 5,j) 10000+,16,3655,157957,153014,74,2.013,118,3.209,20574,1296,19278,0.847,13.446,10956,2611,8345,1.706,7.160,9618,6.286,14.320,0,0,0
1990,g) 6 to 10,a) 1 to 4,439120,440546,1039844,1101757,23376,5.066,65179,14.125,189198,53775,135423,4.881,17.172,313540,175143,138397,15.897,28.458,-124342,-11.286,34.345,52187,52786,145761
1990,g) 6 to 10,b) 5 to 9,177755,182057,1213554,1241208,1789,0.970,6520,3.535,182901,16923,165978,1.363,14.736,238132,79140,158992,6.376,19.186,-55231,-4.450,29.471,5218,5634,69231
1990,g) 6 to 10,c) 10 to 19,101019,109176,1390415,1407543,1281,1.163,3225,2.928,205934,16688,189246,1.186,14.631,240263,71436,168827,5.075,17.070,-34329,-2.439,29.261,2362,2774,63395
1990,g) 6 to 10,d) 20 to 99,72583,95002,2808968,2812305,3181,3.351,3037,3.199,429984,52004,377980,1.849,15.289,436527,114902,321625,4.086,15.522,-6543,-0.233,30.579,1288,1729,92738
1990,g) 6 to 10,e) 100 to 499,8958,28043,1666771,1650168,2480,8.995,1534,5.564,280652,61181,219471,3.708,17.007,247335,60625,186710,3.674,14.988,33317,2.019,29.977,89,243,29704
1990,g) 6 to 10,f) 500 to 999,743,6223,450788,445445,901,15.071,412,6.891,75648,25347,50301,5.690,16.983,63755,16633,47122,3.734,14.313,11893,2.670,28.625,3,12,4141
1990,g) 6 to 10,g) 1000 to 2499,451,5791,587606,584832,802,14.306,432,7.706,77048,25354,51694,4.335,13.174,71679,19087,52592,3.264,12.256,5369,0.918,24.513,(D),(D),(D)
1990,g) 6 to 10,h) 2500 to 4999,119,2465,282817,279069,273,10.909,348,13.906,42448,22392,20056,8.024,15.211,36324,10441,25883,3.741,13.016,6124,2.194,26.032,0,0,0
1990,g) 6 to 10,i) 5000 to 9999,61,2345,274165,261970,202,8.683,165,7.092,44371,6656,37715,2.541,16.937,19490,4852,14638,1.852,7.440,24881,9.498,14.880,0,0,0
1990,g) 6 to 10,j) 10000+,60,2593,288953,283946,84,3.209,134,5.118,37329,4832,32497,1.702,13.147,26671,7140,19531,2.515,9.393,10658,3.754,18.786,0,0,0
1990,h) 11 to 15,a) 1 to 4,198464,199386,470585,498590,9641,4.634,26971,12.964,80705,21977,58728,4.408,16.187,136593,71008,65585,14.242,27.396,-55888,-11.209,32.373,21258,21557,58286
1990,h) 11 to 15,b) 5 to 9,85473,88197,583177,595957,775,0.870,2624,2.944,79941,6672,73269,1.120,13.414,105370,31089,74281,5.217,17.681,-25429,-4.267,26.828,2011,2261,27032
1990,h) 11 to 15,c) 10 to 19,50919,56150,697536,706009,613,1.084,1423,2.516,91268,6762,84506,0.958,12.927,108488,28491,79997,4.036,15.366,-17220,-2.439,25.855,928,1155,25073
1990,h) 11 to 15,d) 20 to 99,39455,55046,1533078,1539426,1805,3.285,1603,2.917,207384,24333,183051,1.581,13.472,220134,54067,166067,3.512,14.300,-12750,-0.828,26.943,574,804,41745
1990,h) 11 to 15,e) 100 to 499,5450,20345,1017778,1016437,1657,8.237,1202,5.975,148639,34469,114170,3.391,14.624,145662,34495,111167,3.394,14.331,2977,0.293,28.661,43,172,15241
1990,h) 11 to 15,f) 500 to 999,481,5669,291897,285793,540,9.717,317,5.704,49412,13948,35464,4.880,17.289,36815,7039,29776,2.463,12.882,12597,4.408,25.763,0,0,0
1990,h) 11 to 15,g) 1000 to 2499,227,5561,277173,269766,523,9.603,293,5.380,47803,15035,32768,5.573,17.720,32858,8584,24274,3.182,12.180,14945,5.540,24.360,0,0,0
1990,h) 11 to 15,h) 2500 to 4999,76,3179,194423,186414,260,8.368,116,3.734,37462,9427,28035,5.057,20.096,22009,2840,19169,1.523,11.807,15453,8.290,23.613,0,0,0
1990,h) 11 to 15,i) 5000 to 9999,37,2838,176556,163640,148,5.176,191,6.679,42913,18729,24184,11.445,26.224,19291,3395,15896,2.075,11.789,23622,14.435,23.577,0,0,0
1990,h) 11 to 15,j) 10000+,28,1651,262331,249564,123,7.379,155,9.298,63891,12478,51413,5.000,25.601,39102,23106,15996,9.259,15.668,24789,9.933,31.336,0,0,0
1990,i) 16 to 20,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,i) 16 to 20,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,i) 16 to 20,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,i) 16 to 20,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,i) 16 to 20,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,i) 16 to 20,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,i) 16 to 20,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,i) 16 to 20,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,i) 16 to 20,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,i) 16 to 20,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,j) 21 to 25,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,k) 26+,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1990,l) Left Censored,a) 1 to 4,550070,553464,1336484,1419630,16800,2.906,66228,11.455,179115,40184,138931,2.831,12.617,345301,181327,163974,12.773,24.323,-166186,-11.706,25.234,55095,56187,156487
1990,l) Left Censored,b) 5 to 9,291942,302604,1994763,2043050,2230,0.730,8187,2.679,219274,17236,202038,0.844,10.733,315367,91317,224050,4.470,15.436,-96093,-4.703,21.465,6002,6971,80130
1990,l) Left Censored,c) 10 to 19,205086,228501,2825070,2865816,2445,1.065,4788,2.085,292642,24041,268601,0.839,10.211,373849,91242,282607,3.184,13.045,-81207,-2.834,20.423,2936,3827,80266
1990,l) Left Censored,d) 20 to 99,206346,303188,8430246,8477554,9371,3.095,8606,2.842,886162,122581,763581,1.446,10.453,980621,211889,768732,2.499,11.567,-94459,-1.114,20.906,1951,3353,144915
1990,l) Left Censored,e) 100 to 499,42464,176091,8216025,8198248,11858,6.792,8865,5.077,966086,221638,744448,2.703,11.784,930609,200872,729737,2.450,11.351,35477,0.433,22.703,190,771,65001
1990,l) Left Censored,f) 500 to 999,5705,64049,3386417,3347255,6419,10.249,3579,5.715,419504,125265,294239,3.742,12.533,340558,76062,264496,2.272,10.174,78946,2.359,20.348,(D),(D),(D)
1990,l) Left Censored,g) 1000 to 2499,3807,84689,4946989,4905472,7396,8.865,4869,5.836,591886,188215,403671,3.837,12.066,508080,128256,379824,2.615,10.357,83806,1.708,20.715,5,399,14469
1990,l) Left Censored,h) 2500 to 4999,1541,72318,3842756,3795993,7619,10.792,4175,5.914,485840,169791,316049,4.473,12.799,391048,97684,293364,2.573,10.302,94792,2.497,20.603,0,0,0
1990,l) Left Censored,i) 5000 to 9999,914,79537,4180855,4114231,5913,7.557,3320,4.243,561479,180680,380799,4.392,13.647,427414,91167,336247,2.216,10.389,134065,3.259,20.777,0,0,0
1990,l) Left Censored,j) 10000+,815,340082,21014766,20875868,28804,8.609,17765,5.310,2504157,777470,1726687,3.724,11.995,2216347,549681,1666666,2.633,10.617,287810,1.379,21.234,0,0,0
1991,a) 0,a) 1 to 4,400014,400278,1070286,535144,400278,200.000,0,0,1070286,1070286,0,200.000,200.000,0,0,0,0,0,1070284,199.999,0,0,0,0
1991,a) 0,b) 5 to 9,31298,31653,413712,206856,31653,200.000,0,0,413712,413712,0,200.000,200.000,0,0,0,0,0,413712,200.000,0,0,0,0
1991,a) 0,c) 10 to 19,12791,13217,344742,172371,13217,200.000,0,0,344742,344742,0,200.000,200.000,0,0,0,0,0,344742,200.000,0,0,0,0
1991,a) 0,d) 20 to 99,6898,8173,490743,245372,8173,200.000,0,0,490743,490743,0,200.000,200.000,0,0,0,0,0,490743,200.000,0,0,0,0
1991,a) 0,e) 100 to 499,592,1680,206976,103488,1680,200.000,0,0,206976,206976,0,200.000,200.000,0,0,0,0,0,206976,200.000,0,0,0,0
1991,a) 0,f) 500 to 999,16,69,22729,11365,69,200.000,0,0,22729,22729,0,200.000,200.000,0,0,0,0,0,22729,200.000,0,0,0,0
1991,a) 0,g) 1000 to 2499,10,160,28911,14456,160,200.000,0,0,28911,28911,0,200.000,200.000,0,0,0,0,0,28911,200.000,0,0,0,0
1991,a) 0,h) 2500 to 4999,4,1933,30193,15097,1933,200.000,0,0,30193,30193,0,200.000,200.000,0,0,0,0,0,30193,200.000,0,0,0,0
1991,a) 0,i) 5000 to 9999,(D),(D),(D),(D),(D),(D),0,0,(D),(D),0,(D),(D),0,0,0,0,0,(D),(D),0,0,0,0
1991,a) 0,j) 10000+,0,0,0,0,0,,0,0,0,0,0,.,.,0,0,0,0,0,0,.,0,0,0,0
1991,b) 1,a) 1 to 4,252705,253136,572582,684566,509,0.165,109907,35.703,143493,1089,142404,0.159,20.961,362129,265592,96537,38.797,52.899,-218636,-31.938,41.922,89061,89087,221218
1991,b) 1,b) 5 to 9,62939,63621,448385,462986,674,1.014,6321,9.513,128065,3187,124878,0.688,27.661,157518,83162,74356,17.962,34.022,-29453,-6.362,55.321,5587,5603,73969
1991,b) 1,c) 10 to 19,29815,31048,427653,431222,725,2.271,2466,7.726,126354,5659,120695,1.312,29.301,133697,65379,68318,15.161,31.004,-7343,-1.703,58.603,2183,2186,58438
1991,b) 1,d) 20 to 99,18317,21896,731470,728499,1491,6.786,1641,7.469,223492,21277,202215,2.921,30.678,218021,101970,116051,13.997,29.927,5471,0.751,59.855,1237,1316,87300
1991,b) 1,e) 100 to 499,1666,4098,317645,326644,687,17.485,349,8.883,96455,17498,78957,5.357,29.529,115347,44453,70894,13.609,35.313,-18892,-5.784,59.058,112,158,33668
1991,b) 1,f) 500 to 999,112,843,68169,65572,198,24.220,147,17.982,18903,2308,16595,3.520,28.828,14019,2852,11167,4.349,21.380,4884,7.448,42.759,0,0,0
1991,b) 1,g) 1000 to 2499,43,458,55013,49158,143,36.951,(D),(D),20501,5992,14509,12.189,41.705,8725,(D),7771,(D),17.749,11776,23.956,35.498,0,0,0
1991,b) 1,h) 2500 to 4999,15,122,27067,28131,(D),(D),11,9.091,789,(D),406,(D),2.805,2914,1025,1889,3.644,10.359,-2125,-7.554,5.610,0,0,0
1991,b) 1,i) 5000 to 9999,8,146,8922,9339,(D),(D),(D),(D),1125,(D),1091,(D),12.046,1969,(D),1923,(D),21.084,-844,-9.037,24.093,0,0,0
1991,b) 1,j) 10000+,15,308,15892,13854,0,0.000,(D),(D),5449,0,5449,0.000,39.333,1419,(D),1405,(D),10.243,4030,29.090,20.486,0,0,0
1991,c) 2,a) 1 to 4,202061,202402,458600,526172,9940,4.375,59516,26.197,101147,22816,78331,4.336,19.223,235646,155696,79950,29.590,44.785,-134499,-25.562,38.446,48610,48655,130659
1991,c) 2,b) 5 to 9,59919,60804,407888,433506,1070,1.709,4707,7.516,85361,8532,76829,1.968,19.691,136601,61092,75509,14.093,31.511,-51240,-11.820,39.382,4062,4124,53882
1991,c) 2,c) 10 to 19,30517,32168,414144,438404,841,2.561,2194,6.680,84461,9185,75276,2.095,19.266,133091,56046,77045,12.784,30.358,-48630,-11.093,38.531,1842,1907,49712
1991,c) 2,d) 20 to 99,19744,23815,749429,780536,1238,5.171,1494,6.240,157196,23403,133793,2.998,20.140,219648,79918,139730,10.239,28.141,-62452,-8.001,40.279,961,1132,67362
1991,c) 2,e) 100 to 499,2024,4659,368675,379664,535,11.756,319,7.009,82947,17149,65798,4.517,21.847,105258,36161,69097,9.524,27.724,-22311,-5.877,43.695,74,133,24475
1991,c) 2,f) 500 to 999,128,925,87221,88351,164,18.807,58,6.651,26444,12265,14179,13.882,29.931,28594,11618,16976,13.150,32.364,-2150,-2.433,59.861,3,3,4346
1991,c) 2,g) 1000 to 2499,66,632,76126,83519,211,38.156,53,9.584,16826,6038,10788,7.229,20.146,31175,13895,17280,16.637,37.327,-14349,-17.181,40.293,3,3,10265
1991,c) 2,h) 2500 to 4999,22,193,28042,32947,14,7.089,23,11.646,5237,255,4982,0.774,15.895,13692,9548,4144,28.980,41.558,-8455,-25.663,31.791,(D),(D),(D)
1991,c) 2,i) 5000 to 9999,12,339,49628,49093,(D),(D),(D),(D),4861,(D),4429,(D),9.902,3631,(D),3341,(D),7.396,1230,2.505,14.792,0,0,0
1991,c) 2,j) 10000+,11,617,70495,68326,(D),(D),34,5.748,7695,(D),6638,(D),11.262,3227,654,2573,0.957,4.723,4468,6.539,9.446,0,0,0
1991,d) 3,a) 1 to 4,171242,171509,390019,440834,9054,4.804,42967,22.798,79279,20889,58390,4.739,17.984,180944,114568,66376,25.989,41.046,-101665,-23.062,35.968,34978,35054,96081
1991,d) 3,b) 5 to 9,55573,56316,373759,397558,920,1.595,3672,6.365,68750,7633,61117,1.920,17.293,116272,47525,68747,11.954,29.247,-47522,-11.953,34.586,3092,3139,41217
1991,d) 3,c) 10 to 19,28828,30443,389727,410806,838,2.709,1816,5.871,70963,9127,61836,2.222,17.274,113191,44600,68591,10.857,27.553,-42228,-10.279,34.548,1449,1502,38943
1991,d) 3,d) 20 to 99,18837,22928,704583,735827,1200,5.196,1530,6.625,131654,20584,111070,2.797,17.892,194270,70252,124018,9.547,26.402,-62616,-8.510,35.784,770,963,55481
1991,d) 3,e) 100 to 499,2040,5633,374101,387200,795,14.434,545,9.895,73854,18831,55023,4.863,19.074,99680,37229,62451,9.615,25.744,-25826,-6.670,38.148,62,231,22777
1991,d) 3,f) 500 to 999,179,1652,106508,110448,196,11.372,339,19.669,20719,6438,14281,5.829,18.759,28257,14398,13859,13.036,25.584,-7538,-6.825,37.518,6,6,8322
1991,d) 3,g) 1000 to 2499,106,1617,129268,130250,581,41.679,135,9.684,24552,11464,13088,8.802,18.850,25781,12276,13505,9.425,19.793,-1229,-0.944,37.700,(D),(D),(D)
1991,d) 3,h) 2500 to 4999,33,2126,84268,89777,359,17.755,151,7.468,8860,2585,6275,2.879,9.869,19863,8740,11123,9.735,22.125,-11003,-12.256,19.738,(D),(D),(D)
1991,d) 3,i) 5000 to 9999,12,790,47282,49258,(D),(D),52,6.452,5642,(D),4095,(D),11.454,9321,1249,8072,2.536,18.923,-3679,-7.469,22.908,0,0,0
1991,d) 3,j) 10000+,9,185,53423,54399,(D),(D),33,16.418,5329,(D),5170,(D),9.796,7561,2846,4715,5.232,13.899,-2232,-4.103,19.592,0,0,0
1991,e) 4,a) 1 to 4,149069,149469,342723,382373,7991,4.947,32124,19.887,65234,18009,47225,4.710,17.060,145096,86664,58432,22.665,37.946,-79862,-20.886,34.121,25924,26058,72051
1991,e) 4,b) 5 to 9,52482,53434,352276,372018,829,1.522,2921,5.362,58653,6816,51837,1.832,15.766,97926,36982,60944,9.941,26.323,-39273,-10.557,31.532,2446,2531,32346
1991,e) 4,c) 10 to 19,28129,29947,378506,396533,879,2.909,1417,4.690,61458,8531,52927,2.151,15.499,97543,34043,63500,8.585,24.599,-36085,-9.100,30.998,1150,1267,30834
1991,e) 4,d) 20 to 99,19423,24798,728819,754165,1549,6.274,1330,5.387,125027,23408,101619,3.104,16.578,175119,57038,118081,7.563,23.220,-50092,-6.642,33.156,680,876,49360
1991,e) 4,e) 100 to 499,2337,6679,447845,454227,914,14.287,351,5.487,78179,24051,54128,5.295,17.211,90869,30056,60813,6.617,20.005,-12690,-2.794,34.423,63,109,21882
1991,e) 4,f) 500 to 999,268,1659,173701,175820,323,21.063,72,4.695,16352,6767,9585,3.849,9.300,20996,4250,16746,2.417,11.942,-4644,-2.641,18.601,(D),(D),(D)
1991,e) 4,g) 1000 to 2499,166,2097,237139,234196,163,7.890,101,4.889,22338,7476,14862,3.192,9.538,16440,5275,11165,2.252,7.020,5898,2.518,14.040,0,0,0
1991,e) 4,h) 2500 to 4999,57,798,157273,153924,50,6.301,41,5.167,12969,2235,10734,1.452,8.426,6611,2548,4063,1.655,4.295,6358,4.131,8.590,0,0,0
1991,e) 4,i) 5000 to 9999,15,1083,81010,77968,46,4.285,27,2.515,18381,1058,17323,1.357,23.575,11702,651,11051,0.835,15.009,6679,8.566,30.017,0,0,0
1991,e) 4,j) 10000+,12,71,73236,86232,(D),(D),(D),(D),1489,(D),1274,(D),1.727,25135,(D),839,(D),29.148,-23646,-27.421,3.453,(D),(D),(D)
1991,f) 5,a) 1 to 4,133490,133915,309185,342506,6982,4.862,26388,18.374,56475,16023,40452,4.678,16.489,123329,71713,51616,20.938,36.008,-66854,-19.519,32.978,21157,21335,59690
1991,f) 5,b) 5 to 9,51375,52386,344755,363625,789,1.481,2564,4.813,52956,6314,46642,1.736,14.563,90697,32471,58226,8.930,24.942,-37741,-10.379,29.127,2152,2249,28690
1991,f) 5,c) 10 to 19,28738,30842,385973,402366,806,2.594,1267,4.078,58385,7521,50864,1.869,14.510,91160,29446,61714,7.318,22.656,-32775,-8.146,29.021,983,1106,26540
1991,f) 5,d) 20 to 99,20489,26444,776051,805176,1528,5.799,1336,5.071,118239,22461,95778,2.790,14.685,176154,54192,121962,6.730,21.878,-57915,-7.193,29.370,597,811,44221
1991,f) 5,e) 100 to 499,2475,7110,452198,462001,721,10.001,919,12.748,73040,21569,51471,4.669,15.809,93173,29703,63470,6.429,20.167,-20133,-4.358,31.619,52,452,20353
1991,f) 5,f) 500 to 999,210,1332,128896,126162,218,17.412,58,4.633,22515,8192,14323,6.493,17.846,17190,2801,14389,2.220,13.625,5325,4.221,27.251,0,0,0
1991,f) 5,g) 1000 to 2499,138,1946,193468,188343,252,13.170,187,9.773,29601,10530,19071,5.591,15.717,19721,3847,15874,2.043,10.471,9880,5.246,20.942,0,0,0
1991,f) 5,h) 2500 to 4999,32,698,75866,72689,110,16.717,30,4.559,10844,1474,9370,2.028,14.918,4760,1079,3681,1.484,6.548,6084,8.370,13.097,0,0,0
1991,f) 5,i) 5000 to 9999,13,296,44073,44255,10,3.306,23,7.603,3239,766,2473,1.731,7.319,3752,917,2835,2.072,8.478,-513,-1.159,14.638,0,0,0
